AP@2@20 ATK=311 EM=21 DEF%=13.1 CD%=23.3 CR%=6.6
AP@4@20 EDH%=46.6 ATK%=4.7 HP%=11.1 CR%=6.2 EM=58
AP@5@20 CR%=31.1 ATK=35 DEF%=15.3 DEF=44 ATK%=5.8
BC@1@20 HP=4780 ATK=33 CD%=25.7 ER%=6.5 ATK%=5.8
BC@3@20 ATK%=46.6 EM=21 ER%=12.3 CD%=11.7 DEF=58
BS@1@20 HP=4780 ATK%=15.2 CR%=7.8 CD%=14.8 ATK=14
BS@1@20 HP=4780 ATK%=9.9 ER%=11.0 CR%=5.8 CD%=17.9
BS@1@20 HP=4780 ATK=16 CD%=26.4 DEF=19 ER%=10.4
BS@1@20 HP=4780 HP%=15.7 CD%=5.4 CR%=9.3 ATK%=8.2
BS@2@20 ATK=311 CD%=18.6 HP=538 CR%=7.0 DEF=23
BS@2@20 ATK=311 DEF=39 CD%=12.4 CR%=7.4 DEF%=18.9
BS@2@20 ATK=311 ER%=4.5 ATK%=8.7 CD%=24.1 CR%=3.9
BS@3@20 ATK%=46.6 CR%=10.1 EM=23 ER%=11.0 CD%=19.4
BS@3@20 ATK%=46.6 DEF=44 HP=478 EM=23 CD%=20.2
BS@4@20 EDC%=46.6 HP=508 CR%=6.6 ATK=37 DEF%=11.7
BS@4@20 EDE%=46.6 ATK%=5.8 CD%=7.0 CR%=12.8 ATK=53
BS@4@20 EDE%=46.6 CD%=15.5 CR%=10.9 HP=299 ATK=31
BS@4@20 EDH%=46.6 EM=35 HP%=4.7 CD%=26.4 HP=209
BS@4@20 EDP%=46.6 CD%=13.2 ER%=14.9 HP=478 ATK%=4.7
BS@4@20 EM=186 ATK=19 CR%=9.3 HP=836 DEF%=7.3
BS@4@20 EM=186 HP=657 CR%=8.9 CD%=7.0 ATK=18
BS@5@20 CD%=62.2 CR%=14.0 DEF=19 EM=21 ATK=35
BS@5@20 CR%=31.1 CD%=12.4 HP=239 ATK=19 ER%=20.1
BS@5@20 CR%=31.1 CD%=7.0 ATK=35 EM=58 HP=508
BS@5@20 CR%=31.1 EM=47 CD%=14.0 ATK%=9.3 DEF=44
CW@1@20 HP=4780 ATK%=4.1 CD%=14.0 CR%=7.4 EM=54
CW@1@20 HP=4780 CD%=14.0 CR%=7.0 DEF=56 EM=35
