IFFHNBJDGPN PlayerLoginReq
CMDKLKOBIOO WorldPlayerRTTNotify
JIELMAMPHLI PlayerRTTInfo
JGMLDHBBACK PlayerStoreNotify
ACINMBOHEEN AvatarDataNotify
DPGCPIMLKLH AvatarRenameInfo
KLLNPGCMDBN AvatarInfo
EBDMCGOEFHA avatar_team_map
OEBAGACLDPF AvatarTeam
PKIKNHAKPCA temp_avatar_guid_list
DBHOEEGLBBK avatar_rename_list
DAIGBJEHFFE avatar_list
HCOJNHNBEBP cur_avatar_team_id
GDGPHIHEDCF choose_avatar_guid
HHMHOHIIJBB Item
JHCGPLJOIFF item_list
PFMMGANCPEF StoreType
AJPLJPEMCDJ weight_limit
LGMMMEDPLGO store_type
BGIPNJAMKGM item_id
IEHPOBPFCBP guid
KKPAPMIGEMC Material
MMCBEAHGJCF Equip
OBCOHDLAJPE Furniture
IFAPCCLIJGD is_locked
GDGHGHFEBFC Weapon
IPBANJACMOM Reliquary
JHCKNPANPID affix_map
MEAPAKAALFP append_prop_id_list
HBPLLHHBCPD level
OPKHKBNHOAM promote_level
BIHJKCGJFML exp
LGMCHAINKLP main_prop_id
BGFOLAACFIE team_resonance_list
EJHEHFMNOFF PropValue
DNGAMNKCAFE prop_map
KCMKGAHODHG proud_skill_extra_level_map
KIDPCOPALNE skill_level_map
FDGGMMBNANB TrialAvatarInfo
DLHHPAJEOBB trial_avatar_info
GDJFODNLGJC fight_prop_map
FDIKGKICEAA excel_info
OGJJMCGAADD AvatarExcelInfo
APEENIIPONC talent_id_list
AFGNDKPPNGF equip_guid_list
PMADCMLHHBF AvatarEquipAffixInfo
HABCADJCNLB equip_affix_list
DNACFCMENOA AvatarSkillInfo
CFOGEFNMJOK skill_map
HFKKLIDEBFB AvatarFetterInfo
IHFEPJEDHHE fetter_info
JBHKKDAHFNP inherent_proud_skill_list
CPBFAAMCFOO pending_promote_reward_list
MPDCKLAGFNA is_focus
CKLHCGJEICC AvatarExpeditionState
OEHGCCODEBO expedition_state
BPAOMOPBMHK born_time
IHDOCBIENJH core_proud_skill_level
KBNDBJINABE costume_id
DFKGPHPNHCN anim_hash
HNFOINHGJKG wearing_flycloak_id
EHFPPNBAGAD life_state
MCKDBJLDCNF skill_depot_id
HFLMEKNAJIE avatar_type
DEHADAMGGJP avatar_id
IADFGKJCIDE type
MKIJCLHFJLN val
